id,autor,titulo,editorial,anio,clasificacion
2128,"Lange, O.",Problemas de economía política del socialismo,"FONDO DE CULTURA
ECONOMICA",1989,HX550.E2 L2 1989
2129,"Ewald, U.",La industria salinera de México 1560-1994,"Fondo de Cultura
Economica",1997,HD9213.M43 E83318 1997
2130,Naciones Unidas. Comisión Económica para América Latina,Plan de acción regional para la aplicación de la ciencia y la tecnología al desarrollo de América Latina,Fondo de Cultura Economica,1973,Q127.A5 N23 1973
2131,"García, N. E. y M. Marfán",Estructuras industriales y eslabonamientos de empleo,"Fondo de Cultura
Economica",1987,HD5730.5A6 G37 1987
2132,"Dixit, A. K.",La teoría del crecimiento equilibrado,"Fondo de Cultura
Economica",1987,HD82 D57918 1987
2133,"Nava P., F. A.",Procesamiento de series de tiempo,"Fondo de Cultura
Economica",2002,QA280 N38 2002
2134,"Canavati Ayub, J. A.",Introducción al análisis funcional,"Fondo de Cultura
Economica",1998,QA320 C35 1998
2135,"Barajas Montes de Oca, S.",Conceptos básicos del derecho del trabajo,"Fondo de Cultura
Economica",1995,K1705.4 B37 1995
2136,"Pérez Montfort, R.","Reflexiones matutinas sobre la investigación cientifica:
Viernes 10, 7:00 am","Fondo de Cultura
Economica",1994,Q180.5 M65 1994
2137,"Ruíz, Gutiérrez R. y F. J. Ayala",El método en las ciencias: Epismología y darwinismo,"Fondo de Cultura
Economica",2004,Q175 R75 2004
2138,"Carrillo Arronte, R.","Ensayo analitico metodológico de planificación
internacional en México","Fondo de Cultura
Economica",1985,HT395.M4 C37 1985
2139,"Lieury, A.",Memoria y éxito escolar,"Fondo de Cultura
Economica",2002,BF371 L53518 2002
2140,"Lieury, A.",La memoria del alumno en 50 preguntas,"Fondo de Cultura
Economica",2002,BF371 L53418 2002
2141,"García Gantú, G.",Idea de México I. Los Estados Unidos,"Fondo de cultura
económica",1991,F1227 G265 1991 T.1
2142,"García Gantú, G.",Idea de México II. El socialismo,"Fondo de cultura
económica",1991,F1227 G265 1991 T.2
2143,"DELGADO CASTILLO, Héctor",Análisi de estados financieros,Trillas,2007,HF5681.B2 D45 2007
2144,"SHERMAN, Arthur, [et. Al]",Administracion de Recursos Humanos,Thomson,1999,HF5549 S4718 1999
2145,Geankoplis C. J.,Proceso de Transporte y Operaciones Unitarias,CONTINENTAL,1998,TP156.T7 G43 1998
2146,"OLLERO BATURONE, Anibal",Robotica. Manipuladores y robots moviles,Marcombo,2007,TJ211 O55 2007
2147,"Guiteras, J., R. Rubio y G. Fonrodona",Curso experimental en química analítica,Síntesis,2007,QD75.22 G85 2007
2148,"Calogero, F.",Variable Phase Approach to Potential Scattering (Las matemáticas en la ciencia y la ingeniería),Academic Press,1967,QC721 C35 1967
2149,"Leff, E.","Saber ambiental: sustentabilidad, racionalidad,
complejidad, poder",Siglo XXI,2007,HD75.6 L447 2007
2150,"García Gantú, G.",Idea de México III.Ensayos 1,"Fondo de cultura
económica",1991,F1227 G265 1991 T.3
2151,"García Gantú, G.",Idea de México IV.Ensayos 2,"Fondo de cultura
económica",1991,F1227 G265 1991 T.4
2152,"García Gantú, G.",Idea de México V. La derecha,"Fondo de cultura
económica",1991,F1227 G265 1991 T.5
2153,"García Gantú, G.",Idea de México VI. El poder,"Fondo de cultura
económica",1991,F1227 G265 1991 T.6
2154,"Azar, H.",Obras. Dramaturgía y teoría escénica I,"Fondo de cultura
económica",1998,PQ7297.A929 A6 1998 T.1
2155,"Azar, H.",Obras. Dramaturgía y teoría escénica II,"Fondo de cultura
económica",1998,PQ7297.A929 A6 1998 T.2
2156,"Argüelles, H.",Teatro Vario III,"Fondo de cultura
económica",1998,PQ7297.A7775 CUTTER 1998
2157,"Argüelles, H.",Teatro Vario IV,"Fondo de cultura
económica",1998,PQ7297.A7775 CUTTER 1998
2158,"Othón, M. J.",Obras Completas I,"Fondo de cultura
económica",1998,PQ7297.O79 CUTTER 1998
2159,"Othón, M. J.",Obras Completas II,"Fondo de cultura
económica",1998,PQ7297.O79 CUTTER 1998
2160,"Blanco, A.",El corazón del instante,"Fondo de cultura
económica",1998,PQ7298.12L3 C67 1998
2161,López W.,Siete obras de teatro,"Fondo de cultura
económica",1997,PQ7298.22O63 A6 1997
2162,Secretaria de Relaciones Exteriores,"Voz de México en la Asamblea General de la ONU 1946-
1993","Fondo de cultura
económica",1994,JX1977.2M4 V69 1994
2163,"Hallé, F.","Un Mundo sin invierno. Los trópicos: Naturaleza y
sociedades","Fondo de cultura
económica",1999,QH84.5 H3518 1999
2164,"Arcos, J. L.",Los poetas de orígenes,"Fondo de cultura
económica",2002,PQ7384 P646 2002
2165,,"Resortes de la creatividad científica: Ensayos sobre
fundadores de la ciencia moderna","Fondo de cultura
económica",1995,QC7 S6718 1995
2166,Bourge P. y J. Lacroux,Al acecho de las estrellas,"Fondo de cultura
económica",2001,QB64 B6918 2001
2167,"Guerrero, G.",La religión del vacío y otros ensayos,"Fondo de cultura
económica",2002,PQ7551 G847 2002
2168,,Centro de estudios Estratégicos: Entendiendo el TLC,"Fondo de cultura
económica",1994,HF1482.5E8 E57 1994
2169,"Sánchez Mayans, F.",Experiencia del silencio: Cincueta sonetos,"Fondo de cultura
económica",1998,PQ7297.S3259 E96 1998
2170,"Robles, M.",La Condena,"Fondo de cultura
económica",1996,PQ7298.28O18 C65 1996
2171,"Reiser, S. J.",La medicina y el imperio de la tecnología,"Fondo de cultura
económica",1990,R145 R4518 1990
2172,"Warner, K. E. y B. R. Luce","Análisis de costo-beneficio y costo-eficiencia en la
atención de la salud","Fondo de cultura
económica",1995,RA410.5 W3718 1995
2173,"Zubirán, S., P. Arroyo, y H. ävila",La nutrición y la salud de las madres y los niños mexicanos. I. De la atención de la salud y la formación de la pareja al parto y el puerperio,Fondo de cultura económica,1990,TX551 N87 1990 T.1
2174,"Zubirán, S., P. Arroyo, y H. ävila","La nutrición y la salud de las madres y los niños
mexicanos. II. Pediatría","Fondo de cultura
económica",1998,TX551 N87 1998 T.2
2175,"Wald, R. M.","Espacio, tiempo y gravitación: La teoría del ""Big Bang"" y
los agujeros negros","Fondo de cultura
económica",1998,QB981 W32 1998
2176,"Mendiola, V. M.",Las 12:00 en malinalco,"Fondo de cultura
económica",1998,PQ7298.M45 D63 1998
2177,,Desastres naturales en América Latina,"Fondo de cultura
económica",2002,GB5014 D47 2002
2178,"HILLIER, F. S. y G. J. Lieberman",Introduction to operations research,"McGraw-
Hill/International",2010,T57.6 H55 2005
2179,"Levin, R. I., y D. S. Rubin",Estadística para administración y economía,Pearson Educacion,2010,HA29 L4518 2010
2180,"González y González, L.",Viaje por la historia de México,Clío,2009,F1226 G635 2010
2181,"Gómez González, S.",SolidWorks simulation,Alfaomega,2010,T385 G6545 2010
2182,"Collete, J. P.",Historia de las matemáticas II,Siglo XXI,2007,QA21 C64318 2007
2183,"Jütz, H., E. Scharkus y R. Lobert","Prontuarío de metales: Tablas para la industria
metalúrgica",Reverte,2004,TN671 J8718 2004
2184,"Chávez Aparicio, F., R. Mejía corona y G. Pacheco
Díaz",Procesos de maquinado en torno convencional,Exodo,2009,TJ1185 C425 2009
2185,"Mengual, P.",STEP 7: Una manera fácil de programar PLC de siemens,Alfaomega,2010,TJ223.P76 M46 2010
2186,,"Tornero Fresador:Mecanización de piezas,  procesos de
fabricación y verificación del producto y preparación y ajuste de máquinas",Ideas propias,2004,TJ1225 C65 2004
2187,"CALLISTER, William D.","Introducción a la ciencia e ingeniería de los materiales
T.1",Reverte,2004,TA403 C3518 2004 T.1
2188,"CALLISTER, William D.","Introducción a la ciencia e ingeniería de los materiales
T.2",Reverte,2003,TA403 C3518 2003 T.2
2189,"Ríos Insúa, D., [et. al]",Simulación: Métodos y aplicaciones,Alfaomega,2009,QA76.9C65 R55 2009
2190,I. D. Fajardo Piedrahita y L. E. Blanco Rivera,"Simulación con promodel: Casos de producción y
logística","Esc. Colombiana de
Ingeniería",2009,QA76.9 B53 2009
2191,"Prellezo, J. M. y J. M. García",Investigar: Metodología y técnicas del trabajo científico,CCS,2003,Q180.55M4 P735 2003
2192,"Piera, M. A., [et. al]","Cómo mejorar la logística de su empresa mediante la
simulación",Díaz de Santos,2006,HD38.5 C654 2006
2193,"Corral Bustamante, L.","Ecuaciones Diferenciales con aplicaciones en ciencias e
ingeniería",Alfaomega,2006,QA371 C697 2006
2194,"Mercado H., S.",Canales de distribución y logística: Estrategias para vender más en los mercados competitivos,Macchi,2008,HF5415.13 M465 2008
2195,"Serway, R. A. y J. W. Jewett","Física: Para ciencias e ingeniería con física moderna
Vol.2",CENGAGE Learning,2009,QC23 S47318 2008 V.2
2196,"Thompson A. A., A. J. Strickland III y J. E. Gamble",Administración estratégica: Teoría y casos,"McGraw-
Hill/Interamericana",2008,HD30.28 T4618 2008
2197,"Reséndiz Núñez, D.","El rompecabezas de la ingeniería: Por qué y cómo se
transforma","Fondo de Cultura
Economica",2008,TA155 R47 2008
2198,"Izar Landeta, J. M.",Investigación de Operaciones,Trillas,2008,T57.6 I93 2008
2199,"Vidal, G.","Grandes empresas, economía y poder en México",Plaza y Valdés,2000,HD2756.2M4 V53 2000
2200,"Rodríguez Taborda, E.",Casos de Administración de operaciones,CESA,2007,TS155 R64 2007
2201,"Newell, M. W. y M. N. Grashina",Preguntas y respuestas sobre la gestión de proyectos,GESTION 2000,2005,HD69.P75 N4918 2005
2202,"Slack, N., [et. al]",Administración de operaciones,Continental,2005,TS155 A3518 2005
2203,"Montufar Benitez, M. A., [et. al]",Investigación de operaciones,Gpo. Editorial Patria,2009,T57.6 I583 2009
2204,"Young, T. L.",Gestione bien sus proyectos,Gedisa,2001,HD69.P75 Y6818 2001
2205,"Palacios Acero, L. C.",Ingeniería de métodos: Moviemientos y tiempos,Ecoe,2009,T60.6 P35 2009
2206,"García Díaz, R.",Manual de fórmulas de ingeniería,Limusa,2010,TA330 G37 2007
2207,"Gärtner, H. y H. Gascha","Manual de fórmulas, matemáticas, física y química",Alfaomega,2010,QA41 G37 2010
2208,"Cárdenas, H., E. Lluis, F. Raggi & F. Tomas",Álgebra superior,Trillas,2010,QA154 C23 2010
2209,"Larson, R., R. P. Hostetler y B. H. Edwards",Cálculo Integral. Matemáticas 2,"McGraw-
Hill/Interamericana",2009,QA308 L36518 2009
2210,"Mochón Morcillo, F.",Principios de economía,"McGraw-
Hill/Interamericana",2006,HB71 M63 2006
2211,William H. Hayt y J. A. Buck,Teoría electromagnética,"McGraw-
Hill/Interamericana",2006,QC670 H385 2006
2212,"Vidal, G.",México y la economía mundial análisis y perspectivas,UAM Iztapalapa,2001,HC135 M4975 2001
2213,"Lévy Mangin, J. P. y Varelz Mallou, J.",Análisis multivariable para las ciencias sociales,Pearson Educación,2003,HA31.35 A53 2003
2214,"Arizabalo, A.","Great Life Special 2: Student's Book (english
Competencias)",Progreso,2011,PE1128 A75 2011 T.2
2215,"Arizabalo, A.","Great Life 2: Student's book, workbook",Progreso,2011,PE1128 A752 2011 T.2
2216,"Arizabalo, A.","Great Life Special: Students Book (english
Competencias) 2",Progreso,2011,PE1128 A75 2011 T.4
2217,"Ross, S. M.",Introducción a la estadística,Reverte,2008,QA276.12 R66418 2008
2218,"Chang, R.",Principios esenciales de química general,"McGraw-
Hill/Interamericana",2006,QD31.2 C38518 2006
2219,"Kern, D. Q.",Procesos de transferencia de calor,Gpo. Editorial Patria,2007,QC320 K483 2007
2220,"Elias, X.","Reciclaje de residuos industriales: Residuos sólidos
urbanos y fangos de depuradora",Díaz de Santos,2009,TD897.845 R43 2009
2221,"Velasco Sotomayor, G. y P. M. Wisniewski",Probabilidad y estadística para ingeniería y ciencias,Thomson,2001,TA340 V45 2001
2222,"Cruz Hernández, L. L., B. A. Jiménez Robledo y M.
D. G. Meza Puesto",Elementos de cálculo integral,Limusa,2009,QA308 C78 2009
2223,"Ortega Pulido, P. y J. F. Serra Cuñat","Problemas de cálculo integral: Cuestiones, ejercicios y
tratamiento en DERIVE",Pearson Educacion,2010,QA309 O77 2010
2224,"Dieterich, H.",Nueva guía para la investigación científica,Planeta,2010,Q180 D54 2010
2225,"Bernal Torres, C. A.","Métodología de la Investigación: Administración, economía, humanidades y ciencias sociales",Pearson Educación,2010,HD30.4 B47 2010
2226,"Ogalla Segura, F.",Sistema de gestión: Una guía práctica,Ediciones Díaz de Santos,2005,HD62.15 O43 2005
2227,"Rodríguez Valencia, J.",Administración con enfoque estratégico,Trillas,2008,HD30.28 R628 2008
2228,,"Lay general del equilibrio ecológico y leyes
complementarias",Juridiediciones,2011,HM208 L4 2011
2229,"Carbonell, M. y E. F. Mac-Gregor",El derecho al medio ambiente: Legislación básica,Porrúa,2005,KGF3421 C36 2005
2230,"Brañes, R.",Manual de derecho ambiental mexicano,"Fondo de Cultura
Economica",2010,KGF3421 B73 2010
2231,"Costa, J. M.",Diccionario de química física,Díaz de Santos,2005,QD451 C67 2005
2232,Biblioteca Mexiquense del Bicentenario,Inspiración y compromiso: los jovenes del Estado de México,Consejo Editorial de la administración pública,2010,BIMEBI C.091  B6353 2010
2233,Biblioteca Mexiquense del Bicentenario,Escuela normal para profesores a 100 años de la inauguración de su edificio,Consejo Editorial de la administración pública,2010,BIMEBI C.092  B6353 2010
2234,"Castillo Troncoso, A. del",Isidro Fabela una mirada en torno a la Revolución Mexicana,Consejo Editorial de la administración pública,2010,BIMEBI C.093 C3785 2010
2235,Biblioteca Mexiquense del Bicentenario,Adolfo López Mateos: Una vida dedicada a la política 1910-2010. Centenario de su natalicio,Consejo Editorial de la administración pública,2010,BIMEBI C.094 B6353 2010
2236,Biblioteca Mexiquense del Bicentenario,Desarrollo de la medicina científica,Secretaria de Salud,2009,BIMEBI C.095 B6353 2009
2237,Biblioteca Mexiquense del Bicentenario,"Manos y prodigios, Estado de México: Primeros lugares de producción agropecuaria y forestal en el país",Secretaria de Desarrollo Agropecuario,2009,BIMEBI C.096 B6353 2009
2238,Biblioteca Mexiquense del Bicentenario,Compromiso con el bienestar institucional de asistencia privada,Consejo Editorial de la administración pública,2009,BIMEBI C.097 B6353 2009
2239,Biblioteca Mexiquense del Bicentenario,Arquitectura vernacula en el Estado de México,Consejo Editorial de la administración pública,2009,BIMEBI C.098 B6353 2009
2240,Biblioteca Mexiquense del Bicentenario,Cultura del agua: Hacia un uso eficiente del recurso vital,Consejo Editorial de la administración pública,2009,BIMEBI C.099 B6353 2009
2241,Biblioteca Mexiquense del Bicentenario,Pirotecnia Mexiquense: Atesania de fuego,Consejo Editorial de la administración pública,2009,BIMEBI C.100 B6353 2009
2242,Biblioteca Mexiquense del Bicentenario,Patrimonio monumental: Entorno a la independencia en el Estado de México,Consejo Editorial de la administración pública,2009,BIMEBI C.101 B6353 2009
2243,Biblioteca Mexiquense del Bicentenario,Siembra y cosecha de identidades en el campo mexiquense,Consejo Editorial de la administración pública,2009,BIMEBI C.102 B6353 2009
2244,Biblioteca Mexiquense del Bicentenario,El rostro del tiempo: La vejez en el Estado de México,Consejo Editorial de la administración pública,2009,BIMEBI C.103 B6353 2009
2245,Biblioteca Mexiquense del Bicentenario,Algarabía de las sombras más allá de lo visible,Consejo Editorial de la administración pública,2009,BIMEBI C.104 B6353 2009
2246,Biblioteca Mexiquense del Bicentenario,Genius Luci configuraciones del paisaje mexiquense,Consejo Editorial de la administración pública,2010,BIMEBI C.105 B6353 2010
2247,Biblioteca Mexiquense del Bicentenario,Miradas al altiplano: retrospectiva de rafael huerta,Consejo Editorial de la administración pública,2010,BIMEBI C.106 B6353 2010
2248,Biblioteca Mexiquense del Bicentenario,Códice de temascaltepec Gobierno Indio y conflictos territoriales en el siglo XVI,Consejo Editorial de la administración pública,2010,BIMEBI C.107 B6353 2010
2249,"GARCIA LUNA ORTEGA, M.",Las casas antiguas de mi ciudad,Consejo Editorial de la administración pública,2010,BIMEBI C.108 G3735 2010
2250,Biblioteca Mexiquense del Bicentenario,Las orquidias del Estado de México,Consejo Editorial de la administración pública,2009,BIMEBI C.109  B6353 2009
2251,Biblioteca Mexiquense del Bicentenario,Zonas metropilitanas: 200años de realidades mexiquenses T.1,Consejo Editorial de la administración pública,2010,BIMEBI C.110 B6353 2010
2252,Biblioteca Mexiquense del Bicentenario,Zonas metropilitanas: 200años de realidades mexiquenses T.2,Consejo Editorial de la administración pública,2010,BIMEBI C.111 B6353 2010
2253,Biblioteca Mexiquense del Bicentenario,"Adolfo López Mateos: La cultura como política de
estado",Fundación UAEMéx.,2010,BIMEBI C.112 B6353 2010
2254,Biblioteca Mexiquense del Bicentenario,Los rostros del compromiso: El valor de servir,Consejo Editorial de la administración pública,2008,BIMEBI C.113 B6353 2008
2255,Biblioteca Mexiquense del Bicentenario,Antologia Juarista,Consejo Editorial de la administración pública,2008,BIMEBI C.114 B6353 2008
2256,Biblioteca Mexiquense del Bicentenario,El diseño ante deterioro ambiental,Consejo Editorial de la administración pública,2008,BIMEBI C.115 B6353 2008
2257,"Alanís Boyso, J. L.",Batalla del monte de las cruces,Consejo Editorial de la administración pública,2008,BIMEBI C.116 A4365 2008
2258,"Morales Corrales, H.",Educación creativa: Hacia un nuevo paradigma del aprendizaje,Consejo Editorial de la administración pública,2010,BIMEBI C.117 M6735 2010
2259,"Osorio Ogarrio, V. A.",Tejupilco: Memoria y raíces,Consejo Editorial de la administración pública,2009,BIMEBI C.118 O8675 2009
2260,Biblioteca Mexiquense del Bicentenario,carlos Hank González: Trascendencia y visión de una política contemporanea,Consejo Editorial de la administración pública,2009,BIMEBI C.119 B6353 2009
2261,Jarquín Ortega M. T y B. Balestra,San juan Bautista de Metepec: Vástago de dos culturas,Consejo Editorial de la administración pública,2010,BIMEBI C.120 J3775 2010
2262,"Martínez Pichardo, J.",Carlos Hank González: Fuerza expresiva de un Gobierno innovador,Consejo Editorial de la administración pública,2009,BIMEBI C.121 M3856 2009
2263,Biblioteca Mexiquense del Bicentenario,Hitos políticos sociales y ecnónomicos en doscientos años de vida cotidiana en el Estado de México,Consejo Editorial de la administración pública,2011,BIMEBI C.122  B6353 2011
2264,"Ceballos, G., [et. al]",La diversidad biológica del Estado de México,Consejo Editorial de la administración pública,2009,BIMEBI C.123 C4335 2009
2265,"Pichardo Pegaza, I.",Sostenibilidad y desarrollo: Ensayos sobre política ambiental en el Estado de México,Consejo Editorial de la administración pública,2009,BIMEBI C.124 P5343 2009
2266,Biblioteca Mexiquense del Bicentenario,Estudio entorno al poder Judicial,Consejo Editorial de la administración pública,2009,BIMEBI C.125 B6353 2009
2267,Biblioteca Mexiquense del Bicentenario,Estudio entorno al poder Legislativo,Consejo Editorial de la administración pública,2010,BIMEBI C.126 B6353 2010
2268,"Guevara Ramírez, H.",El Estado de México desarrollo y repercusione políticas y sociales de la Constitución Federal de 1857,Consejo Editorial de la administración pública,2010,BIMEBI C.127 G8483 2010
2269,"Martínez Pichardo, J. (comp.)",El fortalecimiento Nacional y la Identidad Mexicana a través de las vicisitudes de Miguel Hidalgo y Costilla,Consejo Editorial de la administración pública,2009,BIMEBI C.128 M3785 2009
2270,Biblioteca Mexiquense del Bicentenario,"MBM Monedas, billetes y medallas del Estado de México",Consejo Editorial de la administración pública,2009,BIMEBI C.129 B6353 2009
2271,"Zavala, L.",Reflexiones teóricas sobre cine contemporáneo,Consejo Editorial de la administración pública,2011,BIMEBI C.130 Z3835 2011
2272,"Bazant, M.",Laura Méndez de Cuenca: Mujer indómita y moderna (1853-1928) vida cotidiana y entorno,Consejo Editorial de la administración pública,2010,BIMEBI C.131 B3936 2010
2273,"Santín Quiroz, O. B. Alemán Castilla",Seguridad social sustentable,Consejo Editorial de la administración pública,2009,BIMEBI C.132 S3685 2009
2274,Biblioteca Mexiquense del Bicentenario,Morelos constructor de la Nación Mexicana-. Sus procesos inquisitorial y militar,Consejo Editorial de la administración pública,2010,BIMEBI C.133 B6353 2010
2275,"Osorio, E.",El año que se coronaron los diablos,Consejo Editorial de la administración pública,2009,BIMEBI C.134 O8675 2009
2276,"Robledo Tapia, V. A.",Cuentos de mi abuela  para el insomnio,Consejo Editorial de la administración pública,2009,BIMEBI C.135 R6354 2009
2277,"Amara, L.",Los disidentes del universo,Consejo Editorial de la administración pública,2011,BIMEBI C.136 A6373 2011
2278,"García Valdés, J. C.",La página roja,Consejo Editorial de la administración pública,2011,BIMEBI C.137 G3735 2011
2279,Biblioteca Mexiquense del Bicentenario,Las intervenciones extranjeras en México 1825-1916,Consejo Editorial de la administración pública,2010,BIMEBI C.138 B6353 2010
2280,"Caarralero, R. y W. Leyva",José María Heredia del verso nació la acción,Consejo Editorial de la administración pública,2009,BIMEBI C.139 C3773 2009
2281,"García Olivia, T.",Los Huesos del centauro y otras piezas anatómicas,Consejo Editorial de la administración pública,2011,BIMEBI C.140 G3735 2011
2282,"Andrade, M.",Partes de vida,Consejo Editorial de la administración pública,2011,BIMEBI C.141 A6373 2011
2283,Biblioteca Mexiquense del Bicentenario,Historia de la propiedad privada en México mercedes reales,Consejo Editorial de la administración pública,2011,BIMEBI C.142 B6353 2011
2284,"Landavazo Arias, M. A.",Caras de la revolución: Un ensayo sobre las complejidades de la independencia de México,Consejo Editorial de la administración pública,2009,BIMEBI C.143 L3633 2009
2285,"García Reyes, M. y R, Solis Cuevas",Jiasú y el viento,Consejo Editorial de la administración pública,2009,BIMEBI C.144 G3735 2009
2286,"Benítez Treviño, V. H.",El sistema de dos camaras y sus consecuencias,Consejo Editorial de la administración pública,2009,BIMEBI C.145 B4658 2009
2287,"Arya, J. C. y R. W. Lardner","Matemáticas aplicadas a la administración y a la
economía",Pearson Educación,2002,QA300 A7918 2002
2288,"Munguía Álvarez, R. y E. Derbez",Exploración espacial,Consejo Editorial de la administración pública,2010,BIMEBI C.147 M8664 2010
2289,"Velasco, A.",Fantasmita o fantasmote,Consejo Editorial de la administración pública,2010,BIMEBI C.148 V4539 2010
2290,Biblioteca Mexiquense del Bicentenario,"Teotihuacanos, nahuas y otras culruras: Ciudades prehispánicas, ayer y hoy",Consejo Editorial de la administración pública,2008,BIMEBI C.149 B6353 2008
2291,"Leefmans, M. E.",Felipe y su música,Consejo Editorial de la administración pública,2009,BIMEBI C.150 L4446 2009
2292,Biblioteca Mexiquense del Bicentenario,Estudios entorno al Poder Ejecutivo,Consejo Editorial de la administración pública,2010,BIMEBI C.151  B6353 2010
2293,"Mejía Modesto, A.",200 años de política de población en México,Consejo Editorial de la administración pública,2011,BIMEBI C.152 M4553 2011
2294,"Contreras Nieto, M. A.",Justicia ambiental mexiquense,Consejo Editorial de la administración pública,2009,BIMEBI C.153 C6687 2009
2295,"Arreola Ayala, A.",Alfredo del Mazp Vélez: El político de la transformación,Consejo Editorial de la administración pública,2010,BIMEBI C.155 A7746 2010
2296,"Herrera Martín, A.",Espectros con cananas leyendas de la Revolución,Consejo Editorial de la administración pública,2011,BIMEBI C.156 H4774 2011
2297,"Gutiérrez vega, H.",Las águilas serenas,Consejo Editorial de la administración pública,2009,BIMEBI C.157 G8854 2009
2298,"Aldán, E.",Rápidas variaciones de naturaleza desconocida,Consejo Editorial de la administración pública,2009,BIMEBI C.158 A5336 2009
2299,"Carrera, M.",La derrota de los días,Consejo Editorial de la administración pública,2009,BIMEBI C.159 C3774 2009
2300,"Chávez Castañeda, R.",La última epidemia de risa,Consejo Editorial de la administración pública,2011,BIMEBI C.160 C4384 2011
2301,"Espinosa Castillo, M.",Ecatepec y Nezahualcóyotl de suelos salitrosos a ciudades de progreso,Consejo Editorial de la administración pública,2010,BIMEBI C.161 E7756 2010
2302,"Valencia, D.","Octavio Paz, una mirada al nuevo milenio",Consejo Editorial de la administración pública,2010,BIMEBI C.162 V3546 2010
2303,"Montes de Oca Nava, E.",Historia de la lucha por la tierra en el Edo. De Méx. 1915- 1958,Consejo Editorial de la administración pública,2009,BIMEBI C.163 M6684 2009
2304,"González Reyes, G.","Tierra y sociedad: En la sierra oriental del Valle de
Toluca siglo XV-XVIII del señorío otomiano a los pueblos coloniales",Consejo Editorial de la administración pública,2009,BIMEBI C.164 G6693 2009
2305,"Alanís Boyzo, R.",Historia de la revolución en el Edo. De Méx. 1910-1915,Consejo Editorial de la administración pública,2009,BIMEBI C.165 A4365 2009
2306,"Villada, E.",Espantatíteres,Consejo Editorial de la administración pública,2010,BIMEBI C.166 V5553 2010
2307,Biblioteca Mexiquense del Bicentenario,Nuestras ciudades ordenadas,Consejo Editorial de la administración pública,2010,BIMEBI C.167 B6353 2010
2308,Biblioteca Mexiquense del Bicentenario,¿Cómo nacen nuestras ciudades?,Consejo Editorial de la administración pública,2010,BIMEBI C.168 B6353 2010
2309,Biblioteca Mexiquense del Bicentenario,100CIA para pequeños curiosos,Consejo Editorial de la administración pública,2009,BIMEBI C.169 B6353 2009
2310,"Rubinstein, B. y I. Bastida Herrera(ilustración)",Adivina quién soy,Consejo Editorial de la administración pública,2010,BIMEBI C.170 R8356 2010
2311,"Trevizo, E. y R. Solis Cuevas(ilustración)",Diario garabato: Las aventuras de Agustina,Consejo Editorial de la administración pública,2010,BIMEBI C.171  H4774 2010
2312,"Montes de Oca Malváez, J. y R. Padilla Domínguez",Modernización de la Administración Pública en el Estado de México,Consejo Editorial de la administración pública,2009,BIMEBI C.172 C8483 2009
2313,"Navarro Alvarado, A.,",La competitividad desde una perspectiva regional y empresarial en el Estado de México,Consejo Editorial de la administración pública,2009,BIMEBI C.173 N3837 2009
2314,Biblioteca Mexiquense del Bicentenario,Práctica médica,Consejo Editorial de la administración pública,2010,BIMEBI C.174 B6353 2010
2315,Biblioteca Mexiquense del Bicentenario,"Y tú, ¿qué le vas a regalar a México?",Consejo Editorial de la administración pública,2008,BIMEBI C.175 B6353 2008
2316,"González Mello, F.",El padre pródigio (Ítaca),Consejo Editorial de la administración pública,2011,BIMEBI C.176 G6694 2011
2317,"Blanco Calderon, R.",Las rayas,Consejo Editorial de la administración pública,2011,BIMEBI C.177 B5463 2011
2318,"Chávez Castañeda, R.",Daspariciones,Consejo Editorial de la administración pública,2011,BIMEBI C.178 C4394 2011
2319,"Mendiola, V. M.",4 para Lulú,Consejo Editorial de la administración pública,2011,BIMEBI C.179 M4635 2011
2320,"Chávez Ruíz Esparza, R.",Un naipe de picas,Consejo Editorial de la administración pública,2011,BIMEBI C.180 C4384 2011
2321,"Ruíz Mercado, J.",Mujer con paloma,Consejo Editorial de la administración pública,2011,BIMEBI C.181 R859 2011
2322,"Villarreal, M. M.",Tálamo,Consejo Editorial de la administración pública,2011,BIMEBI C.182 V5553 2011
2323,"Reyes, F. C.",Péndulo,Consejo Editorial de la administración pública,2010,BIMEBI C.183 R4947 2010
2324,"Garcíoa Medrano, R.",Adolfo López Mateos: Perfil bibliográfico 1910-2010 Centanario de su natalicio,Consejo Editorial de la administración pública,2010,BIMEBI C.184 G3735 2010
2325,"Hernández Reyes, B. L. y J. C. Embriz",Chocolate independencia,Consejo Editorial de la administración pública,2010,BIMEBI C.185 H4763 2010
2326,Biblioteca Mexiquense del Bicentenario,De la erótica y la naturaleza,Consejo Editorial de la administración pública,2008,BIMEBI C.087  B6353  2008
2327,"Esquilo, Sofocles y Eurípides",Tragedia griega. Antología,Consejo Editorial de la administración pública,2008,BIMEBI C.186 E8785 2008
2328,"Navarrete lópez, E. L.",Mujeres mexiquenses: Pasado y presente de las voluntades que transforman,Consejo Editorial de la administración pública,2009,BIMEBI C.187 N3837 2009
2329,Biblioteca Mexiquense del Bicentenario,La esclavitud en el Valled e Toluca 1558-1630,Consejo Editorial de la administración pública,2010,BIMEBI C.188 B6353 2010
2330,"Hoyos Martínez, J. E. de","La casa: Origen de la conformación territorial, aportaciones epistemológicas al estudio del territorio",Consejo Editorial de la administración pública,2010,BIMEBI C.189 H6967 2010
