id,autor,titulo,editorial,anio,clasificacion
3601,"Didou Aupetit, S. & E. Gérard","El sistema Nacional de Investigadores, veinticinco años después: La comunidad científica, entre distinción e internacionalización",Anuies,2010,Q180.M6 D53 2010
3602,"Marshall, Alfred.",Principios de economía: un tratado de introducción,AGUILAR,1957,HB171 M375 1957
3603,"Weiss, M. A.",Data Structures and Algorithm Analysis (Estructuras de Datos y Análisis de Algoritmos),The Benjamin/Cummings,1992,QA76.9.D35 W45 1992
3604,"Ramos Escamilla, M.",Dinámica Económica Actual,El autor,2010,HB135 R35 2010
3605,PAC,PAC Mercantil,PAC,2005,KGF1054 2005
3606,"Acosta Altamirano, J. A.",Apuntes de contabilidad de costos IV,El autor,,HF5651 A26 T.4
3607,"Acosta Altamirano, J. A.",Apuntes de contabilidad de costos I,El autor,,HF5651 A26 T.1
3608,"Martínez, E. & L. Tapiz","Diccionario Enciclopedico de las artes e Industrias
Gráficas",Bosco,1981,Z118 D5218 1981
3609,"Laurie, P.",Informatica para todos,Salvat,1986,QA76 L3818 1986
3610,"Lothers, J. E.",Cálculo superior de estructuras de acero,Prentice Hall,1965,TA684 L623 1965
3611,"Acosta Altamirano, J. A.",Apuntes de contabilidad de costos II,El autor,,HF5651 A26 T.2
3612,"Laguna, J., [et. al]",Bioquímica,"La prensa medica
Mexicana",1979,QD415 L3 1979
3613,"Savage, J. M.",Evolución,CONTINENTAL,1980,QH366 S3 1980
3614,"Kerzner, H.",in search of excellence in project management: Successful Practices in High Performance Organizations (en busca de la excelencia en la gestión del proyecto: Prácticas exitosas en organizaciones de alto rendimiento),International Thomson,1997,HD69.P75 K477 1997
3615,"Coddington, E. A.",Introducción a las ecuaciones diferenciales ordinarias,Continental,1968,QA372 C624 1968
3616,"H. Lehmann, C.",Álgebra,John Wiley & Sons,1990,QA154 CUTTER 1990
3617,"Russell, J. B. & A. Larena",Química general,McGraw-Hill,1988,QD31.2 R87 1988
3618,"Oliver, D.",Aprendiendo HTML 3.2 en 24 horas,Hispanoamericana,1997,QA76.76H94 O5418 1997
3619,"Alamade de Ascencio, M., J. J. Calva González, P.
Hernández Salazar, C. Naumis Peña & M. A. Rendón Rojas",Contribución al desarrollo de la sociedad del conocimiento,UNAM,2000,HD79 I55C65 2000
3620,"Pani, E.",El segundo imperio. Pasados de usos multiples,FCE,2004,F1233 P354 2004
3621,"Moran, M. J. & H. N. Shapiro",Fundamentos de termodinámica técnica T.I,Reverté,1998,TJ265 M6718 1998 T.1
